PT100: 24.58
Time: 401   Temperature: 24.92
Time: 804   Temperature: 25.04
Time: 1208   Temperature: 25.04
Time: 1610   Temperature: 25.02
Time: 2014   Temperature: 25.04
Time: 2417   Temperature: 24.99
Time: 2821   Temperature: 25.02
Time: 3224   Temperature: 25.03
Time: 3628   Temperature: 25.04
Time: 4031   Temperature: 25.03
Time: 4433   Temperature: 25.03
Time: 4837   Temperature: 25.01
Time: 5240   Temperature: 25.06
Time: 5644   Temperature: 25.03
Time: 6047   Temperature: 25.06
Time: 6451   Temperature: 25.03
Time: 6853   Temperature: 25.08
Time: 7257   Temperature: 25.03
Time: 7660   Temperature: 25.05
Time: 8064   Temperature: 25.03
Time: 8467   Temperature: 25.02
Time: 8870   Temperature: 25.07
Time: 9274   Temperature: 25.07
Time: 9676   Temperature: 25.01
Time: 10080   Temperature: 25.67
Time: 10483   Temperature: 27.84
Time: 10887   Temperature: 30.83
Time: 11290   Temperature: 33.88
Time: 11694   Temperature: 36.39
Time: 12097   Temperature: 38.87
Time: 12500   Temperature: 41.01
Time: 12904   Temperature: 43.07
Time: 13306   Temperature: 45.53
Time: 13710   Temperature: 47.70
Time: 14113   Temperature: 49.38
Time: 14517   Temperature: 51.01
Time: 14920   Temperature: 52.41
Time: 15324   Temperature: 53.89
Time: 15727   Temperature: 56.17
Time: 16131   Temperature: 58.08
Time: 16534   Temperature: 59.46
Time: 16936   Temperature: 60.54
Time: 17340   Temperature: 61.69
Time: 17743   Temperature: 62.81
Time: 18147   Temperature: 64.64
Time: 18550   Temperature: 66.98
Time: 18954   Temperature: 67.96
Time: 19357   Temperature: 68.90
Time: 19761   Temperature: 69.77
Time: 20164   Temperature: 70.61
Time: 20567   Temperature: 71.47
Time: 20970   Temperature: 73.82
Time: 21373   Temperature: 75.67
Time: 21777   Temperature: 76.49
Time: 22180   Temperature: 77.23
Time: 22584   Temperature: 77.89
Time: 22987   Temperature: 78.54
Time: 23391   Temperature: 80.41
Time: 23794   Temperature: 82.30
Time: 24197   Temperature: 82.82
Time: 24600   Temperature: 83.43
Time: 25004   Temperature: 83.94
Time: 25407   Temperature: 84.38
Time: 25810   Temperature: 86.34
Time: 26214   Temperature: 88.23
Time: 26617   Temperature: 88.88
Time: 27021   Temperature: 89.26
Time: 27424   Temperature: 89.60
Time: 27827   Temperature: 90.03
Time: 28230   Temperature: 91.60
Time: 28634   Temperature: 94.55
Time: 29037   Temperature: 96.46
Time: 29441   Temperature: 96.74
Time: 29844   Temperature: 97.80
Time: 30247   Temperature: 94.97
Time: 30651   Temperature: 91.43
Time: 31054   Temperature: 91.98
Time: 31457   Temperature: 90.84
Time: 31860   Temperature: 92.89
Time: 32264   Temperature: 93.02
Time: 32667   Temperature: 89.73
Time: 33071   Temperature: 87.00
Time: 33474   Temperature: 86.12
Time: 33878   Temperature: 85.86
Time: 34281   Temperature: 89.70
Time: 34683   Temperature: 89.78
Time: 35087   Temperature: 87.21
Time: 35490   Temperature: 86.54
Time: 35894   Temperature: 87.19
Time: 36297   Temperature: 87.20
Time: 36701   Temperature: 85.04
Time: 37104   Temperature: 83.51
Time: 37508   Temperature: 81.64
