PT100: 25.63
Time: 401   Temperature: 29.49
Time: 804   Temperature: 29.54
Time: 1208   Temperature: 29.50
Time: 1610   Temperature: 29.61
Time: 2014   Temperature: 29.57
Time: 2417   Temperature: 29.55
Time: 2821   Temperature: 29.57
Time: 3224   Temperature: 29.53
Time: 3628   Temperature: 29.56
Time: 4031   Temperature: 29.62
Time: 4433   Temperature: 29.65
Time: 4837   Temperature: 29.66
Time: 5240   Temperature: 29.61
Time: 5644   Temperature: 29.65
Time: 6047   Temperature: 29.59
Time: 6451   Temperature: 29.62
Time: 6853   Temperature: 29.78
Time: 7257   Temperature: 29.66
Time: 7660   Temperature: 29.72
Time: 8064   Temperature: 29.66
Time: 8467   Temperature: 29.65
Time: 8870   Temperature: 29.67
Time: 9274   Temperature: 29.66
Time: 9676   Temperature: 29.72
Time: 10080   Temperature: 29.67
Time: 10483   Temperature: 29.73
Time: 10887   Temperature: 29.78
Time: 11290   Temperature: 29.74
Time: 11694   Temperature: 29.92
Time: 12097   Temperature: 30.04
Time: 12500   Temperature: 31.32
Time: 12903   Temperature: 33.16
Time: 13306   Temperature: 35.03
Time: 13710   Temperature: 37.18
Time: 14113   Temperature: 39.41
Time: 14517   Temperature: 41.73
Time: 14920   Temperature: 43.77
Time: 15324   Temperature: 45.53
Time: 15727   Temperature: 47.24
Time: 16131   Temperature: 48.75
Time: 16534   Temperature: 50.45
Time: 16936   Temperature: 52.46
Time: 17340   Temperature: 54.01
Time: 17743   Temperature: 55.62
Time: 18147   Temperature: 56.91
Time: 18550   Temperature: 58.30
Time: 18954   Temperature: 59.95
Time: 19357   Temperature: 62.70
Time: 19761   Temperature: 64.03
Time: 20164   Temperature: 64.90
Time: 20567   Temperature: 64.96
Time: 20970   Temperature: 64.91
Time: 21373   Temperature: 66.35
Time: 21777   Temperature: 69.03
Time: 22180   Temperature: 70.65
Time: 22584   Temperature: 71.58
Time: 22987   Temperature: 72.56
Time: 23391   Temperature: 73.41
Time: 23794   Temperature: 74.44
Time: 24197   Temperature: 76.22
Time: 24600   Temperature: 77.72
Time: 25004   Temperature: 78.57
Time: 25407   Temperature: 79.26
Time: 25810   Temperature: 80.08
Time: 26214   Temperature: 80.92
Time: 26617   Temperature: 82.76
Time: 27021   Temperature: 84.39
Time: 27424   Temperature: 85.06
Time: 27827   Temperature: 85.69
Time: 28230   Temperature: 86.44
Time: 28634   Temperature: 87.05
Time: 29037   Temperature: 88.98
Time: 29441   Temperature: 90.58
Time: 29844   Temperature: 91.07
Time: 30247   Temperature: 91.61
Time: 30651   Temperature: 92.26
Time: 31054   Temperature: 92.81
Time: 31457   Temperature: 94.83
Time: 31860   Temperature: 96.14
Time: 32264   Temperature: 96.42
Time: 32667   Temperature: 98.83
Time: 33071   Temperature: 100.13
Time: 33474   Temperature: 99.97
Time: 33878   Temperature: 99.77
Time: 34281   Temperature: 100.04
Time: 34684   Temperature: 111.48
Time: 35088   Temperature: 110.78
Time: 35490   Temperature: 110.16
Time: 35894   Temperature: 105.96
Time: 36297   Temperature: 102.21
Time: 36701   Temperature: 101.14
Time: 37104   Temperature: 97.43
Time: 37508   Temperature: 94.77
Time: 37911   Temperature: 93.17
Time: 38315   Temperature: 94.00
Time: 38718   Temperature: 94.86
Time: 39121   Temperature: 93.80
Time: 39525   Temperature: 92.72
Time: 39927   Temperature: 91.55
Time: 40331   Temperature: 90.74
Time: 40734   Temperature: 91.21
Time: 41138   Temperature: 91.26
Time: 41541   Temperature: 90.67
Time: 41945   Temperature: 89.86
Time: 42348   Temperature: 89.13
Time: 42752   Temperature: 88.67
Time: 43155   Temperature: 88.37
Time: 43557   Temperature: 87.43
Time: 43961   Temperature: 86.48
Time: 44364   Temperature: 85.64
Time: 44768   Temperature: 84.94
Time: 45171   Temperature: 85.41
Time: 45575   Temperature: 84.64
Time: 45978   Temperature: 83.81
Time: 46382   Temperature: 82.95
Time: 46785   Temperature: 82.16
Time: 47187   Temperature: 82.61
Time: 47591   Temperature: 82.73
Time: 47994   Temperature: 82.03
Time: 48398   Temperature: 81.34
Time: 48801   Temperature: 80.66
Time: 49205   Temperature: 80.75
Time: 49608   Temperature: 81.17
Time: 50012   Temperature: 80.40
Time: 50415   Temperature: 79.74
Time: 50818   Temperature: 79.00
Time: 51221   Temperature: 78.15
Time: 51624   Temperature: 78.67
Time: 52028   Temperature: 77.97
Time: 52431   Temperature: 77.28
Time: 52835   Temperature: 75.76
Time: 53238   Temperature: 76.10
Time: 53642   Temperature: 76.78
Time: 54045   Temperature: 76.88
Time: 54448   Temperature: 75.97
Time: 54851   Temperature: 74.81
Time: 55255   Temperature: 73.85
Time: 55658   Temperature: 74.86
Time: 56061   Temperature: 77.39
Time: 56465   Temperature: 73.92
Time: 56868   Temperature: 71.60
Time: 57272   Temperature: 71.74
Time: 57675   Temperature: 72.45
Time: 58078   Temperature: 73.04
Time: 58481   Temperature: 72.46
Time: 58885   Temperature: 71.95
Time: 59288   Temperature: 71.49
Time: 59692   Temperature: 70.99
Time: 60095   Temperature: 71.42
Time: 60498   Temperature: 71.55
Time: 60902   Temperature: 71.02
Time: 61305   Temperature: 70.43
Time: 61708   Temperature: 69.96
Time: 62111   Temperature: 69.55
Time: 62515   Temperature: 70.07
Time: 62918   Temperature: 69.58
Time: 63322   Temperature: 69.10
Time: 63725   Temperature: 68.67
Time: 64129   Temperature: 68.19
Time: 64532   Temperature: 68.60
Time: 64935   Temperature: 68.75
Time: 65338   Temperature: 68.28
Time: 65741   Temperature: 67.85
Time: 66145   Temperature: 67.21
Time: 66548   Temperature: 67.43
Time: 66952   Temperature: 67.91
Time: 67355   Temperature: 67.47
Time: 67759   Temperature: 67.01
Time: 68162   Temperature: 66.50
Time: 68566   Temperature: 66.02
Time: 68968   Temperature: 66.43
Time: 69371   Temperature: 66.02
Time: 69775   Temperature: 65.63
Time: 70178   Temperature: 65.25
Time: 70582   Temperature: 64.87
Time: 70985   Temperature: 65.04
Time: 71389   Temperature: 65.46
Time: 71792   Temperature: 65.08
Time: 72196   Temperature: 64.68
Time: 72598   Temperature: 64.30
Time: 73001   Temperature: 63.83
Time: 73405   Temperature: 64.28
Time: 73808   Temperature: 63.97
Time: 74212   Temperature: 63.58
Time: 74615   Temperature: 63.23
Time: 75019   Temperature: 62.82
Time: 75422   Temperature: 62.96
Time: 75826   Temperature: 63.37
Time: 76228   Temperature: 63.04
Time: 76632   Temperature: 62.64
Time: 77035   Temperature: 62.20
Time: 77438   Temperature: 61.79
Time: 77842   Temperature: 62.20
Time: 78245   Temperature: 61.91
Time: 78649   Temperature: 61.56
Time: 79052   Temperature: 61.16
Time: 79456   Temperature: 60.70
Time: 79858   Temperature: 60.51
Time: 80262   Temperature: 61.03
Time: 80665   Temperature: 60.65
Time: 81069   Temperature: 60.27
Time: 81472   Temperature: 59.83
Time: 81875   Temperature: 59.52
Time: 82279   Temperature: 59.97
Time: 82682   Temperature: 60.19
Time: 83086   Temperature: 59.78
Time: 83488   Temperature: 59.37
Time: 83892   Temperature: 59.09
Time: 84295   Temperature: 58.86
Time: 84699   Temperature: 59.26
Time: 85102   Temperature: 58.76
Time: 85506   Temperature: 58.38
Time: 85909   Temperature: 58.05
Time: 86312   Temperature: 57.81
Time: 86716   Temperature: 57.92
