PT100: 25.39
Time: 401   Temperature: 25.77
Time: 804   Temperature: 25.80
Time: 1208   Temperature: 25.75
Time: 1610   Temperature: 25.76
Time: 2014   Temperature: 25.78
Time: 2417   Temperature: 25.76
Time: 2821   Temperature: 25.76
Time: 3224   Temperature: 25.78
Time: 3628   Temperature: 25.75
Time: 4031   Temperature: 25.74
Time: 4433   Temperature: 25.74
Time: 4837   Temperature: 25.73
Time: 5240   Temperature: 25.73
Time: 5644   Temperature: 25.71
Time: 6047   Temperature: 26.39
Time: 6451   Temperature: 30.94
Time: 6854   Temperature: 37.13
Time: 7257   Temperature: 43.75
Time: 7660   Temperature: 49.92
Time: 8064   Temperature: 55.47
Time: 8467   Temperature: 60.32
Time: 8870   Temperature: 64.65
Time: 9274   Temperature: 68.58
Time: 9676   Temperature: 72.20
Time: 10080   Temperature: 75.54
Time: 10483   Temperature: 78.63
Time: 10887   Temperature: 81.52
Time: 11290   Temperature: 84.17
Time: 11694   Temperature: 86.79
Time: 12097   Temperature: 89.40
Time: 12500   Temperature: 91.96
Time: 12904   Temperature: 94.41
Time: 13306   Temperature: 96.68
Time: 13710   Temperature: 98.94
Time: 14113   Temperature: 101.07
Time: 14517   Temperature: 103.29
Time: 14920   Temperature: 102.46
Time: 15324   Temperature: 98.53
Time: 15727   Temperature: 94.65
Time: 16131   Temperature: 91.31
Time: 16534   Temperature: 88.52
Time: 16937   Temperature: 86.16
Time: 17340   Temperature: 84.14
Time: 17743   Temperature: 82.41
Time: 18147   Temperature: 80.90
Time: 18550   Temperature: 79.51
Time: 18954   Temperature: 78.25
Time: 19357   Temperature: 77.16
