Time,Temperature
401,23.46
804,23.16
1208,23.17
1610,23.25
2014,23.29
2417,23.26
2821,23.2
3224,23.21
3628,23.26
4030,23.29
4433,23.3
4837,23.27
5240,23.26
5644,23.35
6047,23.31
6450,23.33
6853,23.32
7257,23.38
7660,23.49
8064,23.42
8467,23.38
8869,23.33
9273,23.34
9676,23.43
10080,23.47
10483,23.52
10887,23.55
11290,23.66
11693,23.92
12096,24.23
12499,24.49
12903,24.7
13306,24.81
13710,24.97
14113,25.19
14517,25.35
14919,25.55
15323,25.68
15726,25.8
16130,26
16533,26.18
16936,26.26
17340,26.36
17743,26.55
18146,26.71
18549,27
18953,27.13
19356,27.15
19760,27.18
20163,27.32
20567,27.55
20970,27.7
21372,27.78
21776,27.78
22179,27.8
22583,28.76
22986,28.61
23390,30.14
23793,29.71
24197,30.77
24599,30.92
25003,31.08
25406,31.23
25809,31.38
26213,31.54
26616,31.68
27020,31.84
27423,31.97
27827,32.16
28229,32.3
28633,32.45
29036,32.58
29440,32.72
29843,32.89
30246,33.04
30650,33.15
31053,31.9
31456,31.25
31859,31.02
32263,31.24
32666,33.18
33070,33.98
33473,33.79
33876,34.2
34280,34.39
34682,34.33
35086,34.62
35489,34.76
35893,34.9
36296,35.02
36700,35.13
37103,35.25
37507,35.32
37909,35.13
38312,34.82
38716,34.56
39119,35.3
39523,34.76
39926,34.8
40330,34.94
40733,34.8
41137,34.74
41539,34.75
41943,34.78
42346,34.97
42749,34.85
43153,34.82
43556,34.8
43960,34.73
44363,34.65
44766,34.91
45169,34.88
45573,34.88
45976,34.76
46380,34.71
46783,34.97
47186,34.98
47590,35.01
47992,34.93
48396,34.82
48799,34.84
49203,35.16
49606,35.22
50010,35.19
50413,35.06
50817,35.03
51219,35.28
51622,35.2
52026,34.78
52429,34.7
52833,34.68
53236,35.04
53640,35.93
54043,39.87
54446,39.95
54849,40.02
55252,40.13
55656,40.2
56059,40.29
56463,40.39
56866,40.45
57270,40.51
57673,40.63
58076,40.76
58479,40.89
58883,40.96
59286,41.1
59689,41.16
60093,41.26
60496,41.34
60900,41.41
61302,41.48
61706,41.59
62109,41.63
62513,41.69
62916,41.75
63320,41.82
63723,41.9
64126,41.96
64529,42.01
64932,42.07
65336,42.16
65739,42.23
66143,42.29
66546,42.37
66950,42.46
67353,42.5
67756,42.57
68159,42.67
68562,42.75
68966,42.81
69369,42.92
69773,42.97
70176,43.07
70580,43.11
70982,43.19
71386,43.25
71789,43.34
72193,43.4
72596,43.48
72999,43.51
73403,43.57
73806,43.64
74209,43.69
74612,43.77
75016,43.82
75419,43.9
75823,43.94
76226,44
76630,44.07
77033,44.15
77435,44.21
77839,44.26
78242,44.32
78646,44.34
79049,44.42
79453,44.45
79856,44.54
80260,44.57
80662,44.63
81065,44.7
81469,44.73
81872,44.79
82276,44.84
82679,44.89
83083,44.94
83486,44.97
83890,45.02
84292,45.1
84696,45.15
85099,45.23
85502,45.25
85906,45.31
86309,45.37
86713,45.42
87116,45.45
87519,45.52
87922,45.57
88326,45.63
88729,45.66
89133,45.71
89536,45.77
89939,45.8
90343,45.84
90745,45.85
91149,45.91
91552,45.95
91956,46.02
92359,46.03
92763,46.09
93166,46.13
93570,46.18
93972,46.21
94375,46.24
94779,46.3
95182,46.35
95586,46.36
95989,46.42
96393,46.46
96796,46.5
97199,46.53
97602,46.55
98006,46.61
98409,46.62
98812,46.68
99216,46.73
99619,46.76
100023,46.79
100425,46.83
100829,46.86
101232,46.9
101636,46.92
102039,46.94
102443,46.97
102846,46.99
103249,46.99
103653,47.05
104056,47.06
104460,47.09
104863,47.12
105267,47.14
105669,47.19
106073,47.2
106476,47.22
106880,47.24
107283,47.29
107686,47.33
